example_id,query,action,crime_type,area,time_window,language
AG-03563,Show the accused and FIR network for Murder at RT Nagar today,investigate_network,Murder,RT Nagar,today,en
AG-09648,ಇಂದಿರಾನಗರದಲ್ಲಿ ಈ ವರ್ಷ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Domestic Violence,Indiranagar,this_year,kn
AG-05497,Search reports about Assault & Violence in MG Road,search_cases,Assault & Violence,MG Road,all,en
AG-05716,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ ಸುತ್ತಮುತ್ತ ಈ ವರ್ಷ ಆಸ್ತಿ ಕಳ್ಳತನ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Property Theft,KR Market,this_year,kn
AG-08859,Show Robbery & Dacoity hotspots around Whitefield,show_hotspots,Robbery & Dacoity,Whitefield,all,en
AG-02667,Show Vehicle Theft hotspots around Yeshwantpur,show_hotspots,Vehicle Theft,Yeshwantpur,all,en
AG-02168,ಜಯನಗರ ಪ್ರದೇಶದ ವಂಚನೆ ಮತ್ತು ಮೋಸ ವರದಿಗಳನ್ನು ಕಳೆದ ತಿಂಗಳು ಹುಡುಕಿ,search_cases,Fraud & Cheating,Jayanagar,last_month,kn
AG-02947,Show Communal Offences cases in Electronic City this week,search_cases,Communal Offences,Electronic City,this_week,en
AG-08958,ಹೆಬ್ಬಾಳದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಮಹಿಳಾ ಕಿರುಕುಳ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Eve Teasing,Hebbal,last_30_days,kn
AG-03920,ಹೆಬ್ಬಾಳ ಸಮೀಪದ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಈ ವರ್ಷ ಹುಡುಕಿ,search_cases,Domestic Violence,Hebbal,this_year,kn
AG-07038,ಯಲಹಂಕದಲ್ಲಿ ಇಂದು ವಂಚನೆ ಮತ್ತು ಮೋಸ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Fraud & Cheating,Yelahanka,today,kn
AG-05687,Investigate connected suspects in Assault & Violence cases near Yeshwantpur this week,investigate_network,Assault & Violence,Yeshwantpur,this_week,en
AG-09616,ಮೈಸೂರು ರಸ್ತೆ ಸಮೀಪ ಈ ವಾರ ವಾಹನ ಕಳ್ಳತನ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Vehicle Theft,Mysuru Road,this_week,kn
AG-03721,Search reports about Eve Teasing in HSR Layout this week,search_cases,Eve Teasing,HSR Layout,this_week,en
AG-09861,Show Domestic Violence hotspots around Basavanagudi in the last 30 days,show_hotspots,Domestic Violence,Basavanagudi,last_30_days,en
AG-05951,Find repeat accused links for Cyber Crime in Hebbal last month,investigate_network,Cyber Crime,Hebbal,last_month,en
AG-04463,Investigate connected suspects in Child Offences cases near MG Road,investigate_network,Child Offences,MG Road,all,en
AG-09693,Which high-risk areas near Rajajinagar have Property Theft this week?,show_hotspots,Property Theft,Rajajinagar,this_week,en
AG-08686,ಮೈಸೂರು ರಸ್ತೆದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Robbery & Dacoity,Mysuru Road,last_month,kn
AG-03064,ಆರ್‌ಟಿ ನಗರ ಸುತ್ತಮುತ್ತ ಈ ವಾರ ಹಲ್ಲೆ ಮತ್ತು ಹಿಂಸಾಚಾರ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Assault & Violence,RT Nagar,this_week,kn
AG-05571,Map danger zones for Property Theft in Silk Board in the last 30 days,show_hotspots,Property Theft,Silk Board,last_30_days,en
AG-08774,ಯಲಹಂಕ ಪ್ರದೇಶದ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ವರದಿಗಳನ್ನು ಈ ವಾರ ಹುಡುಕಿ,search_cases,Domestic Violence,Yelahanka,this_week,kn
AG-02584,ಮೈಸೂರು ರಸ್ತೆ ಪ್ರದೇಶದ ಕೊಲೆ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಕಳೆದ ತಿಂಗಳು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Murder,Mysuru Road,last_month,kn
AG-03133,Show Robbery & Dacoity cases in KR Market this year,search_cases,Robbery & Dacoity,KR Market,this_year,en
AG-04850,ಬಸವನಗುಡಿ ಪ್ರದೇಶದ ಮಹಿಳಾ ಕಿರುಕುಳ ವರದಿಗಳನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಹುಡುಕಿ,search_cases,Eve Teasing,Basavanagudi,last_30_days,kn
AG-04311,Which high-risk areas near Marathahalli have Communal Offences this year?,show_hotspots,Communal Offences,Marathahalli,this_year,en
AG-03229,Search reports about Narcotics in Jayanagar this year,search_cases,Narcotics,Jayanagar,this_year,en
AG-05792,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ ಪ್ರದೇಶದ ಭೂ ವಿವಾದ ವರದಿಗಳನ್ನು ಹುಡುಕಿ,search_cases,Land Disputes,Bannerghatta Road,all,kn
AG-07565,Investigate connected suspects in Narcotics cases near Yeshwantpur today,investigate_network,Narcotics,Yeshwantpur,today,en
AG-01656,ಕೋರಮಂಗಲ ಸಮೀಪದ ಕೊಲೆ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಪರಿಶೀಲಿಸಿ,investigate_network,Murder,Koramangala,last_30_days,kn
AG-06136,ಮೈಸೂರು ರಸ್ತೆ ಸುತ್ತಮುತ್ತ ಈ ವರ್ಷ ಭೂ ವಿವಾದ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Land Disputes,Mysuru Road,this_year,kn
AG-08461,Show Communal Offences cases in RT Nagar last month,search_cases,Communal Offences,RT Nagar,last_month,en
AG-00805,Show Missing Persons cases in Silk Board in the last 30 days,search_cases,Missing Persons,Silk Board,last_30_days,en
AG-00568,ಆರ್‌ಟಿ ನಗರ ಸುತ್ತಮುತ್ತ ಈ ವರ್ಷ ಕೊಲೆ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Murder,RT Nagar,this_year,kn
AG-09523,Find FIR records for Vehicle Theft near Mysuru Road,search_cases,Vehicle Theft,Mysuru Road,all,en
AG-06444,ಯಲಹಂಕದಲ್ಲಿ ಈ ವಾರ ಸೈಬರ್ ಅಪರಾಧ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Cyber Crime,Yelahanka,this_week,kn
AG-08121,Analyze hotspot evidence for Fraud & Cheating at Rajajinagar this year,show_hotspots,Fraud & Cheating,Rajajinagar,this_year,en
AG-00738,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಸಮೀಪದ ಮಕ್ಕಳ ವಿರುದ್ಧದ ಅಪರಾಧ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಇಂದು ಪರಿಶೀಲಿಸಿ,investigate_network,Child Offences,Electronic City,today,kn
AG-02282,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿದಲ್ಲಿ ಇಂದು ಎಷ್ಟು ಮಹಿಳಾ ಕಿರುಕುಳ ಘಟನೆಗಳು ನಡೆದಿವೆ?,search_cases,Eve Teasing,Electronic City,today,kn
AG-02914,ರಾಜಾಜಿನಗರ ಸುತ್ತಮುತ್ತ ಇಂದು ಮಹಿಳಾ ಕಿರುಕುಳ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Eve Teasing,Rajajinagar,today,kn
AG-06157,How many Unlawful Assembly incidents occurred at Rajajinagar this week?,search_cases,Unlawful Assembly,Rajajinagar,this_week,en
AG-00514,ಮೈಸೂರು ರಸ್ತೆ ಪ್ರದೇಶದ ಕೋಮು ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Communal Offences,Mysuru Road,all,kn
AG-08597,Which repeat offenders connect Robbery & Dacoity cases in Indiranagar ?,investigate_network,Robbery & Dacoity,Indiranagar,all,en
AG-09465,Which high-risk areas near Yeshwantpur have Unlawful Assembly last month?,show_hotspots,Unlawful Assembly,Yeshwantpur,last_month,en
AG-01971,Which high-risk areas near Electronic City have Communal Offences this week?,show_hotspots,Communal Offences,Electronic City,this_week,en
AG-05821,Find FIR records for Fraud & Cheating near Yeshwantpur in the last 30 days,search_cases,Fraud & Cheating,Yeshwantpur,last_30_days,en
AG-00623,Investigate connected suspects in Murder cases near Malleshwaram in the last 30 days,investigate_network,Murder,Malleshwaram,last_30_days,en
AG-02748,ಜಯನಗರ ಪ್ರದೇಶದ ಮಹಿಳಾ ಕಿರುಕುಳ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Eve Teasing,Jayanagar,last_month,kn
AG-07070,ಕೋರಮಂಗಲದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ನಡೆದ ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Robbery & Dacoity,Koramangala,last_30_days,kn
AG-02059,Search reports about Unlawful Assembly in HSR Layout in the last 30 days,search_cases,Unlawful Assembly,HSR Layout,last_30_days,en
AG-05397,Show Missing Persons hotspots around MG Road in the last 30 days,show_hotspots,Missing Persons,MG Road,last_30_days,en
AG-05075,Investigate connected suspects in Land Disputes cases near Electronic City today,investigate_network,Land Disputes,Electronic City,today,en
AG-06429,Which high-risk areas near Rajajinagar have Domestic Violence this week?,show_hotspots,Domestic Violence,Rajajinagar,this_week,en
AG-01510,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Narcotics,HSR Layout,last_30_days,kn
AG-01676,ಮೈಸೂರು ರಸ್ತೆದಲ್ಲಿ ಈ ವಾರ ನಡೆದ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Vehicle Theft,Mysuru Road,this_week,kn
AG-02658,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಸಮೀಪದ ಕೊಲೆ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಪರಿಶೀಲಿಸಿ,investigate_network,Murder,Electronic City,all,kn
AG-05615,Investigate connected suspects in Fraud & Cheating cases near KR Market,investigate_network,Fraud & Cheating,KR Market,all,en
AG-08158,ಮಾರತಹಳ್ಳಿದಲ್ಲಿ ಈ ವಾರ ಮಹಿಳಾ ಕಿರುಕುಳ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Eve Teasing,Marathahalli,this_week,kn
AG-04383,Analyze hotspot evidence for Eve Teasing at Silk Board this week,show_hotspots,Eve Teasing,Silk Board,this_week,en
AG-03448,ಹೆಬ್ಬಾಳ ಪ್ರದೇಶದ ಮಹಿಳಾ ಕಿರುಕುಳ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Eve Teasing,Hebbal,all,kn
AG-04756,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಸಮೀಪ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ವಂಚನೆ ಮತ್ತು ಮೋಸ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Fraud & Cheating,Silk Board,last_30_days,kn
AG-01346,ರಾಜಾಜಿನಗರ ಸಮೀಪದ ಸೈಬರ್ ಅಪರಾಧ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಈ ವಾರ ಹುಡುಕಿ,search_cases,Cyber Crime,Rajajinagar,this_week,kn
AG-01110,ಮಾರತಹಳ್ಳಿದಲ್ಲಿ ಈ ವರ್ಷ ಕೊಲೆ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Murder,Marathahalli,this_year,kn
AG-09519,Analyze hotspot evidence for Land Disputes at Whitefield in the last 30 days,show_hotspots,Land Disputes,Whitefield,last_30_days,en
AG-05567,Which repeat offenders connect Land Disputes cases in Malleshwaram today?,investigate_network,Land Disputes,Malleshwaram,today,en
AG-07845,Map danger zones for Land Disputes in Rajajinagar this year,show_hotspots,Land Disputes,Rajajinagar,this_year,en
AG-09016,ಯಶವಂತಪುರ ಸಮೀಪ ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Missing Persons,Yeshwantpur,all,kn
AG-09093,Map danger zones for Unlawful Assembly in Malleshwaram this week,show_hotspots,Unlawful Assembly,Malleshwaram,this_week,en
AG-08003,Find repeat accused links for Child Offences in Jayanagar this year,investigate_network,Child Offences,Jayanagar,this_year,en
AG-07326,ಯಲಹಂಕ ಪ್ರದೇಶದ ಭೂ ವಿವಾದ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Land Disputes,Yelahanka,last_30_days,kn
AG-02020,ಎಂಜಿ ರಸ್ತೆದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Missing Persons,MG Road,last_month,kn
AG-02415,Which high-risk areas near Electronic City have Communal Offences this week?,show_hotspots,Communal Offences,Electronic City,this_week,en
AG-00595,Find FIR records for Land Disputes near RT Nagar this year,search_cases,Land Disputes,RT Nagar,this_year,en
AG-05524,ಮಲ್ಲೇಶ್ವರಂದಲ್ಲಿ ಈ ವರ್ಷ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Narcotics,Malleshwaram,this_year,kn
AG-03136,ಜಯನಗರ ಸುತ್ತಮುತ್ತ ಈ ವಾರ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Narcotics,Jayanagar,this_week,kn
AG-03857,Which repeat offenders connect Missing Persons cases in Yeshwantpur this year?,investigate_network,Missing Persons,Yeshwantpur,this_year,en
AG-07703,Which repeat offenders connect Cyber Crime cases in Rajajinagar in the last 30 days?,investigate_network,Cyber Crime,Rajajinagar,last_30_days,en
AG-00049,Show Eve Teasing cases in Basavanagudi this week,search_cases,Eve Teasing,Basavanagudi,this_week,en
AG-07421,Show the accused and FIR network for Eve Teasing at Basavanagudi today,investigate_network,Eve Teasing,Basavanagudi,today,en
AG-07089,Which high-risk areas near RT Nagar have Fraud & Cheating this week?,show_hotspots,Fraud & Cheating,RT Nagar,this_week,en
AG-04644,ಆರ್‌ಟಿ ನಗರ ಪ್ರದೇಶದ ಭೂ ವಿವಾದ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Land Disputes,RT Nagar,last_month,kn
AG-06569,Which repeat offenders connect Missing Persons cases in Silk Board this year?,investigate_network,Missing Persons,Silk Board,this_year,en
AG-01027,Find FIR records for Child Offences near HSR Layout in the last 30 days,search_cases,Child Offences,HSR Layout,last_30_days,en
AG-04731,Show Child Offences hotspots around RT Nagar,show_hotspots,Child Offences,RT Nagar,all,en
AG-00838,ಯಲಹಂಕ ಪ್ರದೇಶದ ಹಲ್ಲೆ ಮತ್ತು ಹಿಂಸಾಚಾರ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಈ ವರ್ಷ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Assault & Violence,Yelahanka,this_year,kn
AG-02924,ಬಸವನಗುಡಿದಲ್ಲಿ ನಡೆದ ಕೋಮು ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Communal Offences,Basavanagudi,all,kn
AG-07252,ವೈಟ್‌ಫೀಲ್ಡ್ದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ಸೈಬರ್ ಅಪರಾಧ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Cyber Crime,Whitefield,last_month,kn
AG-02280,ಎಂಜಿ ರಸ್ತೆ ಪ್ರದೇಶದ ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Robbery & Dacoity,MG Road,all,kn
AG-09509,Which repeat offenders connect Missing Persons cases in Whitefield in the last 30 days?,investigate_network,Missing Persons,Whitefield,last_30_days,en
AG-07543,Show Land Disputes cases in BTM Layout,search_cases,Land Disputes,BTM Layout,all,en
AG-04159,Find FIR records for Property Theft near HSR Layout this week,search_cases,Property Theft,HSR Layout,this_week,en
AG-07336,ಕೋರಮಂಗಲ ಸಮೀಪ ಇಂದು ಭೂ ವಿವಾದ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Land Disputes,Koramangala,today,kn
AG-08572,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Robbery & Dacoity,Electronic City,last_30_days,kn
AG-07749,Map danger zones for Eve Teasing in Yelahanka in the last 30 days,show_hotspots,Eve Teasing,Yelahanka,last_30_days,en
AG-03458,ಮೈಸೂರು ರಸ್ತೆದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ನಡೆದ ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Robbery & Dacoity,Mysuru Road,last_month,kn
AG-04973,Find repeat accused links for Eve Teasing in Basavanagudi,investigate_network,Eve Teasing,Basavanagudi,all,en
AG-02896,ಎಂಜಿ ರಸ್ತೆದಲ್ಲಿ ಈ ವರ್ಷ ಮಹಿಳಾ ಕಿರುಕುಳ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Eve Teasing,MG Road,this_year,kn
AG-09124,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ ಪ್ರದೇಶದ ಆಸ್ತಿ ಕಳ್ಳತನ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಈ ವರ್ಷ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Property Theft,HSR Layout,this_year,kn
AG-06305,Investigate connected suspects in Missing Persons cases near BTM Layout last month,investigate_network,Missing Persons,BTM Layout,last_month,en
AG-02878,ಬಸವನಗುಡಿ ಸಮೀಪ ಕೊಲೆ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Murder,Basavanagudi,all,kn
AG-07151,Find repeat accused links for Cyber Crime in Yeshwantpur this year,investigate_network,Cyber Crime,Yeshwantpur,this_year,en
AG-03620,ಆರ್‌ಟಿ ನಗರ ಪ್ರದೇಶದ ಕೋಮು ಅಪರಾಧ ವರದಿಗಳನ್ನು ಈ ವರ್ಷ ಹುಡುಕಿ,search_cases,Communal Offences,RT Nagar,this_year,kn
AG-04057,How many Property Theft incidents occurred at Rajajinagar today?,search_cases,Property Theft,Rajajinagar,today,en
AG-05253,Map danger zones for Land Disputes in Bannerghatta Road last month,show_hotspots,Land Disputes,Bannerghatta Road,last_month,en
AG-08130,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ದಲ್ಲಿ ಆಸ್ತಿ ಕಳ್ಳತನ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Property Theft,KR Market,all,kn
AG-09244,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ ಸಮೀಪ ಕಳೆದ ತಿಂಗಳು ವಾಹನ ಕಳ್ಳತನ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Vehicle Theft,Bannerghatta Road,last_month,kn
AG-03111,Map danger zones for Assault & Violence in Hebbal this week,show_hotspots,Assault & Violence,Hebbal,this_week,en
AG-04227,Map danger zones for Child Offences in Indiranagar this week,show_hotspots,Child Offences,Indiranagar,this_week,en
AG-04609,Show Communal Offences cases in Koramangala,search_cases,Communal Offences,Koramangala,all,en
AG-06080,ಮಾರತಹಳ್ಳಿ ಪ್ರದೇಶದ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ವರದಿಗಳನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಹುಡುಕಿ,search_cases,Domestic Violence,Marathahalli,last_30_days,kn
AG-03952,ಮಲ್ಲೇಶ್ವರಂ ಪ್ರದೇಶದ ಹಲ್ಲೆ ಮತ್ತು ಹಿಂಸಾಚಾರ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Assault & Violence,Malleshwaram,all,kn
AG-07990,ಮೈಸೂರು ರಸ್ತೆ ಪ್ರದೇಶದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಈ ವಾರ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Unlawful Assembly,Mysuru Road,this_week,kn
AG-04874,ಜಯನಗರದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ನಡೆದ ಆಸ್ತಿ ಕಳ್ಳತನ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Property Theft,Jayanagar,last_month,kn
AG-01116,ಕೋರಮಂಗಲ ಪ್ರದೇಶದ ಕೋಮು ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Communal Offences,Koramangala,this_week,kn
AG-09452,ಹೆಬ್ಬಾಳ ಪ್ರದೇಶದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ವರದಿಗಳನ್ನು ಹುಡುಕಿ,search_cases,Unlawful Assembly,Hebbal,all,kn
